Variable,PSI,Estado PSI,KS,p-value
tipo_credito,0.0,Sin Drift,0.7198,0.0
capital_prestado,1.2792,Drift Alto,0.3088,0.0
plazo_meses,1.5031,Drift Alto,0.4793,0.0
edad_cliente,0.8725,Drift Alto,0.3192,0.0
salario_cliente,8.322,Drift Alto,0.9935,0.0
total_otros_prestamos,7.9314,Drift Alto,0.9937,0.0
cuota_pactada,1.6808,Drift Alto,0.3652,0.0
puntaje,8.0321,Drift Alto,0.9448,0.0
puntaje_datacredito,0.0,Sin Drift,,
cant_creditosvigentes,0.212,Drift Moderado,0.2853,0.0
huella_consulta,0.6027,Drift Alto,0.3588,0.0
saldo_mora,0.0,Sin Drift,,
saldo_total,0.0,Sin Drift,,
saldo_principal,0.0,Sin Drift,,
saldo_mora_codeudor,0.0,Sin Drift,,
creditos_sectorFinanciero,1.5369,Drift Alto,0.3812,0.0
creditos_sectorCooperativo,0.0,Sin Drift,0.8239,0.0
creditos_sectorReal,0.007,Sin Drift,0.4112,0.0
promedio_ingresos_datacredito,0.0,Sin Drift,,
