Variable,Importancia
puntaje,0.8187039482605849
puntaje_datacredito,0.02018661331117022
capital_prestado,0.01395701915728046
total_otros_prestamos,0.013818203347345055
cuota_pactada,0.013543341286040237
edad_cliente,0.012443174134206543
saldo_mora,0.011460065867690737
huella_consulta,0.01139945800717545
promedio_ingresos_datacredito,0.011292459577518966
plazo_meses,0.010950981134892769
salario_cliente,0.010362188743509334
saldo_total,0.0100896317156655
saldo_principal,0.01008836725508951
cant_creditosvigentes,0.0077542903387673185
creditos_sectorFinanciero,0.006165166341466001
creditos_sectorReal,0.005827439483931312
creditos_sectorCooperativo,0.0019787422426860548
tipo_credito,0.0018265228463006996
tipo_laboral_Empleado,0.0015393078794834055
tipo_laboral_Independiente,0.0014989939873775173
tendencia_ingresos_Creciente,0.0013996322940578471
saldo_mora_codeudor,0.0013893063180536074
tendencia_ingresos_Decreciente,0.00126917732272516
tendencia_ingresos_Estable,0.0010406353303328494
tendencia_ingresos_1000000,2.2310210253089263e-06
tendencia_ingresos_8315,1.8697546219171003e-06
tendencia_ingresos_0,1.5237897449695e-06
tendencia_ingresos_-28589,1.4407122511932585e-06
tendencia_ingresos_9147,1.3028066110291087e-06
tendencia_ingresos_10808,1.1112383753578812e-06
tendencia_ingresos_1817052,8.00548141182366e-07
tendencia_ingresos_65988,5.299099885125361e-07
tendencia_ingresos_2029000,5.022067223836834e-07
tendencia_ingresos_77975,4.867945478923357e-07
tendencia_ingresos_17181,4.145078801649968e-07
tendencia_ingresos_-288,3.459518240133902e-07
tendencia_ingresos_15245,2.747319244861704e-07
tendencia_ingresos_-4105,2.677056690399131e-07
tendencia_ingresos_-70715,2.0195513444544144e-07
tendencia_ingresos_52862,1.923441027995827e-07
tendencia_ingresos_1123000,1.7621938358546858e-07
tendencia_ingresos_3978,1.699126222123159e-07
tendencia_ingresos_24702,1.5099695491483182e-07
tendencia_ingresos_86286,1.3594168291214286e-07
tendencia_ingresos_22363,1.3136290252594205e-07
tendencia_ingresos_75761,1.2693861570281225e-07
tendencia_ingresos_54683,1.2407624538169477e-07
tendencia_ingresos_-224714,1.2116224433245524e-07
tendencia_ingresos_9090,1.1655019022280279e-07
tendencia_ingresos_31837,1.0886315318772173e-07
tendencia_ingresos_146918,1.0880319473586964e-07
tendencia_ingresos_22832,9.155566993553323e-08
tendencia_ingresos_168750,7.13569595539674e-08
tendencia_ingresos_-566272,4.044354903314371e-08
tendencia_ingresos_-101368,3.6963106444190806e-08
tendencia_ingresos_122727,3.389661670858095e-08
tendencia_ingresos_417087,3.3027493745112567e-08
tendencia_ingresos_5697,3.158179988534323e-08
tendencia_ingresos_-164315,2.818569884918887e-08
tendencia_ingresos_-435177,0.0
tendencia_ingresos_15090,0.0
